Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA;Patch
Vladimir;Mage;TOP;C;38.65;-1.51;49.81%;23.19%;1.05%;4.20%;2.13;patch_13.3
Volibear;Fighter;JUNGLE;B;45.88;7.11;52.87%;42.73%;1.62%;0.91%;2.58;patch_13.3
Volibear;Fighter;TOP;C;35.54;-4.2;47.83%;53.45%;1.73%;0.91%;1.74;patch_13.3
Warwick;Fighter;JUNGLE;A;48.7;-0.46;49.71%;63.68%;4.64%;6.61%;2.12;patch_13.3
Warwick;Fighter;TOP;B;43.01;-2.49;50.46%;33.25%;1.90%;6.61%;1.82;patch_13.3
Wukong;Fighter;JUNGLE;S;62.18;2.07;52.24%;80.72%;6.39%;4.09%;2.79;patch_13.3
Wukong;Fighter;TOP;C;41.76;-2.08;50.96%;16.26%;1.21%;4.09%;2.11;patch_13.3
Xayah;Marksman;ADC;God;84.92;18.79;52.82%;98.82%;16.54%;13.50%;2.53;patch_13.3
Xerath;Mage;SUPPORT;A;49.16;-0.44;50.33%;71.47%;3.64%;3.06%;2.56;patch_13.3
Xerath;Mage;MID;A;49.11;1.17;50.21%;25.53%;1.27%;3.06%;3.28;patch_13.3
Xin Zhao;Fighter;JUNGLE;C;42.04;4.11;50.48%;87.04%;2.40%;0.39%;2.27;patch_13.3
Yasuo;Fighter;MID;S;61.05;7.84;48.86%;70.92%;11.08%;17.29%;1.72;patch_13.3
Yasuo;Fighter;TOP;C;42.22;-1.54;47.65%;18.83%;2.80%;17.29%;1.46;patch_13.3
Yone;Assassin;MID;A;54.45;2.65;49.72%;61.81%;7.63%;9.10%;1.91;patch_13.3
Yone;Assassin;TOP;A;51.35;0.02;48.75%;35.10%;4.16%;9.10%;1.63;patch_13.3
Yorick;Fighter;TOP;A;52.81;0.89;51.10%;91.93%;3.80%;4.23%;1.58;patch_13.3
Yuumi;Support;SUPPORT;C;38.23;-5.95;41.32%;98.22%;3.98%;5.96%;3.6;patch_13.3
Zac;Tank;JUNGLE;S;57.38;-3.01;51.03%;76.04%;4.41%;10.21%;3.43;patch_13.3
Zac;Tank;TOP;B;46.89;-0.24;53.07%;10.54%;0.61%;10.21%;2.71;patch_13.3
Zed;Assassin;MID;S;64.46;6.26;49.14%;77.51%;9.44%;32.39%;2.27;patch_13.3
Zed;Assassin;JUNGLE;C;35.63;0.31;46.19%;17.60%;1.95%;32.39%;2.36;patch_13.3
Zeri;Marksman;ADC;A;48.72;-2.38;50.40%;95.66%;7.60%;3.50%;2.54;patch_13.3
Ziggs;Mage;MID;B;47.22;0.4;50.91%;53.02%;1.59%;0.35%;2.44;patch_13.3
Ziggs;Mage;ADC;C;39.16;1.96;54.17%;34.58%;0.89%;0.35%;2.62;patch_13.3
Ziggs;Mage;SUPPORT;D;35.08;1.1;50.38%;12.01%;0.36%;0.37%;2.04;patch_13.3
Zilean;Support;MID;A;52.78;1.73;52.96%;12.92%;0.32%;0.93%;3.54;patch_13.3
Zilean;Support;SUPPORT;B;44.96;-2.17;49.87%;82.81%;2.10%;0.93%;3.01;patch_13.3
Zoe;Mage;MID;B;47.13;-3.21;48.80%;87.15%;3.07%;1.88%;2.59;patch_13.3
Zoe;Mage;SUPPORT;D;29.74;-0.95;47.48%;10.66%;0.36%;1.81%;2.11;patch_13.3
Zyra;Mage;SUPPORT;B;47.48;-2.62;51.00%;91.43%;3.37%;2.03%;2.17;patch_13.3
Aatrox;Fighter;TOP;A;54.25;2.78;46.86%;92.37%;5.15%;5.83%;1.78;patch_13.4
Ahri;Mage;MID;S;61.82;2.39;50.95%;94.63%;7.43%;2.42%;2.67;patch_13.4
Akali;Assassin;MID;A;52.27;1.2;47.11%;73.97%;6.22%;10.29%;2.27;patch_13.4
Akali;Assassin;TOP;D;35.28;-2.37;45.81%;24.91%;2.05%;10.29%;1.95;patch_13.4
Akshan;Marksman;MID;A;48.32;1.38;51.29%;67.81%;2.33%;3.50%;2.25;patch_13.4
Akshan;Marksman;TOP;C;41.11;-1.46;52.13%;22.94%;0.80%;3.50%;2.01;patch_13.4
Alistar;Tank;SUPPORT;A;48.76;0.68;50.35%;87.08%;3.37%;0.96%;2.44;patch_13.4
Amumu;Tank;JUNGLE;A;48.68;-1.97;50.43%;55.97%;3.13%;4.11%;2.66;patch_13.4
Amumu;Tank;SUPPORT;B;45.76;2.37;50.61%;42.69%;2.06%;4.11%;2.07;patch_13.4
Anivia;Mage;MID;A;51.93;-1.63;51.44%;84.17%;2.52%;3.66%;2.89;patch_13.4
Anivia;Mage;SUPPORT;D;34.89;3.52;45.79%;10.45%;0.29%;3.56%;2.16;patch_13.4
Annie;Mage;MID;S;58.02;0.04;52.98%;49.75%;4.28%;11.98%;2.51;patch_13.4
Annie;Mage;SUPPORT;S;56.59;-7.79;53.01%;47.28%;4.38%;11.98%;2.6;patch_13.4
Aphelios;Marksman;ADC;D;31.4;1.26;47.17%;97.62%;5.75%;0.73%;2.02;patch_13.4
Ashe;Marksman;SUPPORT;B;45.2;-29.25;47.37%;46.06%;4.41%;5.56%;2.15;patch_13.4
Ashe;Marksman;ADC;C;36.75;-6.29;48.68%;51.00%;5.38%;5.56%;2.29;patch_13.4
Aurelion Sol;Mage;MID;God;94.06;-0.48;52.33%;87.99%;10.39%;48.11%;2.67;patch_13.4
Azir;Mage;MID;D;34.91;-3.6;44.27%;89.60%;2.12%;0.46%;1.96;patch_13.4
Bard;Support;SUPPORT;B;46.9;2.18;49.63%;96.14%;2.13%;0.30%;2.91;patch_13.4
Bel'Veth;Fighter;JUNGLE;A;50.76;2.99;51.35%;89.97%;3.64%;6.28%;2.39;patch_13.4
Blitzcrank;Tank;SUPPORT;S;61.59;-8.66;51.25%;97.12%;7.90%;19.22%;2.42;patch_13.4
Brand;Mage;SUPPORT;B;45.84;3.16;50.11%;75.42%;3.04%;3.68%;1.77;patch_13.4
Brand;Mage;MID;B;41.92;0.71;50.26%;16.94%;0.79%;4.46%;2.02;patch_13.4
Braum;Support;SUPPORT;B;47.83;2.25;50.57%;98.30%;2.02%;0.31%;2.79;patch_13.4
Caitlyn;Marksman;ADC;God;79.94;-11.44;48.73%;94.65%;14.60%;15.67%;2.18;patch_13.4
Camille;Fighter;TOP;S;56.3;-1.03;49.55%;93.77%;4.50%;2.19%;1.95;patch_13.4
Cassiopeia;Mage;MID;A;49.14;-1.47;51.60%;78.10%;2.49%;2.58%;2.24;patch_13.4
Cassiopeia;Mage;TOP;C;38.53;-4.57;52.10%;13.70%;0.47%;2.58%;1.92;patch_13.4
Cho'Gath;Tank;TOP;S;59.22;4.89;51.55%;55.51%;4.08%;2.01%;2.11;patch_13.4
Cho'Gath;Tank;MID;B;46.33;-2.1;51.68%;15.86%;1.07%;2.01%;2.35;patch_13.4
Cho'Gath;Tank;ADC;D;18.72;0.0;48.10%;19.19%;1.35%;2.01%;2.24;patch_13.4
Corki;Marksman;MID;C;36.73;-3.94;46.71%;89.23%;0.85%;0.15%;2.14;patch_13.4
Darius;Fighter;TOP;God;90.89;0.78;49.49%;93.61%;8.56%;21.40%;1.82;patch_13.4
Diana;Fighter;JUNGLE;A;50.85;-1.77;49.98%;66.45%;4.71%;3.24%;2.41;patch_13.4
Diana;Fighter;MID;B;45.77;2.03;50.54%;31.46%;2.12%;3.24%;2.07;patch_13.4
Dr. Mundo;Marksman;TOP;A;50.14;-1.34;51.53%;85.85%;2.71%;2.92%;1.89;patch_13.4
Draven;Fighter;ADC;B;47.95;0.14;49.36%;95.57%;6.60%;20.76%;2.12;patch_13.4
Ekko;Assassin;JUNGLE;S;56.7;-1.56;50.77%;67.34%;5.58%;5.03%;2.72;patch_13.4
Ekko;Assassin;MID;B;46.59;-0.51;50.02%;29.96%;2.36%;5.03%;2.29;patch_13.4
Elise;Mage;JUNGLE;A;48.52;-1.9;49.96%;95.24%;3.11%;8.11%;2.71;patch_13.4
Evelynn;Assassin;JUNGLE;A;51.95;-0.31;49.52%;98.03%;4.24%;9.17%;2.9;patch_13.4
Ezreal;Marksman;ADC;God;79.2;7.47;48.15%;93.33%;16.57%;3.61%;2.38;patch_13.4
Fiddlesticks;Mage;JUNGLE;A;51.46;1.58;51.03%;86.81%;3.57%;4.00%;2.74;patch_13.4
Fiora;Fighter;TOP;God;70.59;-0.33;50.47%;97.77%;5.98%;14.57%;1.71;patch_13.4
Fizz;Assassin;MID;A;55.92;6.64;51.32%;95.51%;4.97%;5.30%;2.44;patch_13.4
Galio;Tank;MID;B;47.38;-0.47;50.43%;80.64%;1.83%;0.30%;2.65;patch_13.4
Galio;Tank;SUPPORT;C;39.0;6.85;48.09%;16.05%;0.35%;0.29%;2.25;patch_13.4
Gangplank;Fighter;TOP;S;64.23;-23.35;47.70%;79.41%;6.01%;11.64%;1.86;patch_13.4
Gangplank;Fighter;MID;B;42.67;-5.37;49.21%;19.25%;1.52%;11.64%;2.1;patch_13.4
Garen;Fighter;TOP;A;55.61;-1.53;49.22%;86.44%;4.50%;1.47%;1.98;patch_13.4
Gnar;Fighter;TOP;B;46.19;0.81;47.83%;96.44%;3.56%;0.55%;1.84;patch_13.4
Gragas;Fighter;JUNGLE;S;58.08;3.51;50.11%;51.39%;6.00%;5.15%;2.94;patch_13.4
Gragas;Fighter;TOP;A;49.95;-0.38;48.33%;28.81%;3.45%;5.15%;2.16;patch_13.4
Gragas;Fighter;MID;B;47.58;-0.87;50.76%;15.84%;1.77%;5.15%;2.54;patch_13.4
Graves;Marksman;JUNGLE;A;48.02;1.62;48.20%;88.25%;4.71%;1.84%;2.56;patch_13.4
Gwen;Fighter;TOP;B;45.6;1.65;49.49%;87.61%;2.92%;0.97%;1.75;patch_13.4
Hecarim;Fighter;JUNGLE;S;57.01;6.6;50.12%;99.20%;6.07%;5.76%;2.72;patch_13.4
Heimerdinger;Mage;MID;B;44.77;-1.45;52.17%;20.78%;0.72%;2.94%;2.01;patch_13.4
Heimerdinger;Mage;SUPPORT;B;44.75;1.57;50.42%;57.19%;1.84%;2.94%;2.0;patch_13.4
Heimerdinger;Mage;TOP;C;37.06;0.58;51.80%;14.63%;0.50%;2.94%;1.76;patch_13.4
Illaoi;Fighter;TOP;God;66.06;-0.29;51.35%;94.31%;5.41%;11.16%;1.46;patch_13.4
Irelia;Fighter;TOP;S;58.34;-2.08;49.84%;48.09%;4.44%;15.34%;1.61;patch_13.4
Irelia;Fighter;MID;A;48.88;-1.62;48.74%;50.20%;4.52%;15.34%;1.77;patch_13.4
Ivern;Support;JUNGLE;C;38.35;-5.62;46.61%;80.13%;1.02%;0.36%;3.28;patch_13.4
Ivern;Support;SUPPORT;D;33.32;8.54;44.62%;10.41%;0.13%;0.33%;2.36;patch_13.4
Janna;Support;SUPPORT;A;48.44;-0.83;49.78%;95.33%;2.55%;0.58%;3.07;patch_13.4
Jarvan IV;Tank;JUNGLE;God;81.66;1.09;52.86%;92.52%;10.93%;11.37%;3.34;patch_13.4
Jax;Fighter;TOP;God;88.48;-2.9;50.69%;85.91%;8.29%;18.49%;1.69;patch_13.4
Jax;Fighter;JUNGLE;C;38.24;3.6;48.99%;11.89%;1.22%;17.93%;2.13;patch_13.4
Jayce;Fighter;TOP;S;65.18;0.97;49.13%;74.53%;6.16%;4.08%;1.81;patch_13.4
Jayce;Fighter;MID;B;46.61;-1.51;51.10%;23.76%;1.88%;4.08%;2.16;patch_13.4
Jhin;Marksman;ADC;God;72.27;-2.68;50.13%;94.60%;12.55%;3.19%;2.91;patch_13.4
Jinx;Marksman;ADC;God;94.33;47.86;51.87%;98.62%;18.14%;3.25%;2.42;patch_13.4
K'Sante;Fighter;TOP;A;48.09;6.67;45.94%;89.88%;4.41%;4.22%;1.88;patch_13.4
Kai'Sa;Marksman;ADC;God;90.09;12.67;50.83%;94.78%;17.54%;3.30%;2.5;patch_13.4
Kalista;Marksman;ADC;D;23.08;-4.61;48.63%;86.07%;2.16%;0.54%;2.25;patch_13.4
Karma;Mage;SUPPORT;A;51.5;-8.56;48.09%;88.96%;6.46%;1.83%;2.66;patch_13.4
Karthus;Mage;JUNGLE;C;41.3;3.53;48.79%;62.95%;1.98%;2.19%;2.49;patch_13.4
Karthus;Mage;MID;C;39.87;-4.23;49.01%;10.81%;0.32%;2.19%;2.28;patch_13.4
Karthus;Mage;ADC;D;27.92;-8.87;52.90%;19.07%;0.64%;2.19%;2.26;patch_13.4
Kassadin;Assassin;MID;B;46.71;-2.8;48.47%;96.74%;2.74%;10.47%;2.55;patch_13.4
Katarina;Assassin;MID;S;56.49;2.87;48.49%;95.66%;7.14%;8.12%;2.28;patch_13.4
Kayle;Fighter;TOP;A;49.74;-0.93;51.72%;80.98%;2.74%;0.67%;1.81;patch_13.4
Kayle;Fighter;MID;B;43.93;-1.14;51.61%;15.14%;0.41%;0.67%;2.2;patch_13.4
Kayn;Fighter;JUNGLE;God;68.21;1.22;50.47%;96.44%;9.93%;8.49%;2.45;patch_13.4
Kennen;Mage;TOP;B;47.9;12.27;50.16%;77.80%;2.78%;1.14%;1.99;patch_13.4
Kennen;Mage;MID;B;47.54;0.64;52.82%;17.66%;0.59%;1.14%;2.47;patch_13.4
Kha'Zix;Assassin;JUNGLE;A;48.51;0.24;49.43%;98.04%;4.16%;1.58%;2.5;patch_13.4
Kindred;Marksman;JUNGLE;B;47.17;3.42;49.74%;94.93%;3.88%;4.22%;2.21;patch_13.4
Kled;Fighter;TOP;A;51.88;-0.38;51.26%;88.29%;2.81%;1.82%;2.21;patch_13.4
Kog'Maw;Marksman;ADC;D;26.42;-4.59;50.85%;86.14%;1.68%;0.40%;2.22;patch_13.4
LeBlanc;Assassin;MID;A;55.33;9.21;47.75%;92.71%;6.15%;8.37%;2.81;patch_13.4
Lee Sin;Fighter;JUNGLE;God;93.6;1.49;49.75%;91.81%;17.50%;12.32%;2.78;patch_13.4
Leona;Tank;SUPPORT;A;50.21;-0.03;50.09%;98.44%;4.45%;3.76%;2.34;patch_13.4
Lillia;Fighter;JUNGLE;B;46.96;2.87;50.50%;85.25%;2.45%;1.21%;2.72;patch_13.4
Lillia;Fighter;TOP;C;36.27;0.0;51.00%;11.73%;0.38%;1.37%;2.02;patch_13.4
Lissandra;Mage;MID;A;50.29;0.65;50.92%;92.86%;3.06%;1.08%;2.47;patch_13.4
Lucian;Marksman;ADC;B;44.17;0.88;49.26%;90.75%;7.18%;1.95%;2.28;patch_13.4
Lulu;Support;SUPPORT;S;59.4;-10.83;48.29%;97.46%;9.45%;8.26%;2.9;patch_13.4
Lux;Mage;SUPPORT;God;68.3;-24.51;49.92%;70.57%;12.42%;12.04%;2.42;patch_13.4
Lux;Mage;MID;S;57.69;2.06;51.10%;26.77%;4.55%;12.04%;2.88;patch_13.4
Malphite;Tank;TOP;God;90.32;17.85;52.59%;75.47%;8.24%;7.27%;2.48;patch_13.4
Malphite;Tank;MID;B;47.6;-2.38;51.77%;10.79%;1.13%;7.27%;2.54;patch_13.4
Malzahar;Mage;MID;A;50.78;-0.85;50.93%;90.29%;3.45%;3.70%;2.31;patch_13.4
Maokai;Tank;SUPPORT;B;47.36;3.99;52.01%;36.48%;1.42%;3.48%;2.24;patch_13.4
Maokai;Tank;JUNGLE;B;44.71;-2.99;49.83%;50.70%;1.82%;3.48%;2.85;patch_13.4
Maokai;Tank;TOP;D;31.7;0.0;47.83%;11.83%;0.46%;3.48%;2.3;patch_13.4
Master Yi;Assassin;JUNGLE;S;58.17;-0.55;49.08%;93.71%;7.20%;15.33%;2.05;patch_13.4
Miss Fortune;Marksman;ADC;S;60.04;7.04;50.45%;86.88%;10.42%;2.54%;2.26;patch_13.4
Miss Fortune;Marksman;SUPPORT;D;31.07;5.51;43.09%;10.77%;1.06%;2.54%;1.91;patch_13.4
Mordekaiser;Fighter;TOP;God;77.26;3.82;50.79%;83.63%;6.89%;11.52%;1.88;patch_13.4
Mordekaiser;Fighter;JUNGLE;B;42.43;2.62;50.96%;10.14%;0.95%;12.45%;2.39;patch_13.4
Morgana;Mage;SUPPORT;S;59.52;-12.2;49.71%;90.89%;6.79%;27.98%;2.41;patch_13.4
Nami;Support;SUPPORT;A;55.2;-10.94;49.48%;99.55%;6.60%;1.41%;3.04;patch_13.4
Nasus;Fighter;TOP;S;59.82;-2.49;50.85%;80.83%;4.51%;4.18%;1.94;patch_13.4
Nasus;Fighter;MID;B;43.22;-3.14;51.26%;10.86%;0.40%;4.18%;2.16;patch_13.4
Nautilus;Tank;SUPPORT;S;61.1;-10.99;50.65%;95.47%;9.12%;10.88%;2.33;patch_13.4
Neeko;Mage;MID;B;47.95;-0.01;52.33%;57.77%;1.36%;0.48%;2.34;patch_13.4
Neeko;Mage;SUPPORT;C;40.21;6.52;49.18%;24.88%;0.59%;0.52%;1.94;patch_13.4
Neeko;Mage;TOP;D;35.03;-4.26;51.01%;10.26%;0.20%;0.52%;1.98;patch_13.4
Nidalee;Assassin;JUNGLE;B;47.16;2.1;47.88%;89.78%;3.97%;3.34%;2.84;patch_13.4
Nilah;Marksman;ADC;C;38.7;-2.97;53.90%;96.50%;2.76%;3.59%;2.28;patch_13.4
Nocturne;Assassin;JUNGLE;S;58.85;5.04;52.88%;94.98%;5.05%;3.20%;2.68;patch_13.4
Nunu;Tank;JUNGLE;A;49.87;-3.97;48.92%;91.65%;4.61%;1.82%;2.71;patch_13.4
Olaf;Fighter;TOP;S;62.59;4.03;52.79%;85.15%;4.29%;6.03%;1.84;patch_13.4
Olaf;Fighter;JUNGLE;C;39.46;0.11;50.34%;12.30%;0.57%;6.03%;2.3;patch_13.4
Orianna;Mage;MID;A;48.44;-0.65;50.05%;90.69%;2.46%;0.23%;2.7;patch_13.4
Ornn;Tank;TOP;A;53.12;-1.93;50.36%;91.87%;3.25%;0.50%;2.35;patch_13.4
Pantheon;Fighter;MID;A;50.97;2.18;51.99%;31.90%;2.75%;2.74%;2.37;patch_13.4
Pantheon;Fighter;TOP;A;49.68;5.1;50.33%;33.91%;2.90%;2.74%;2.07;patch_13.4
Pantheon;Fighter;JUNGLE;C;41.11;0.0;50.02%;11.17%;0.85%;2.74%;2.61;patch_13.4
Pantheon;Fighter;SUPPORT;C;40.95;5.25;48.13%;21.65%;1.95%;2.74%;1.93;patch_13.4
Poppy;Tank;TOP;B;43.51;5.53;51.60%;44.94%;1.29%;0.77%;2.15;patch_13.4
Poppy;Tank;JUNGLE;B;42.18;0.99;49.78%;43.40%;1.27%;0.77%;2.69;patch_13.4
Pyke;Support;SUPPORT;S;57.63;-8.69;50.07%;94.52%;7.84%;13.31%;2.2;patch_13.4
Qiyana;Assassin;MID;B;45.5;3.76;49.11%;82.34%;2.94%;1.00%;2.12;patch_13.4
Qiyana;Assassin;JUNGLE;D;28.87;0.0;45.16%;12.96%;0.43%;1.00%;2.28;patch_13.4
Quinn;Marksman;TOP;C;41.61;0.26;51.58%;77.67%;1.28%;0.59%;1.87;patch_13.4
Quinn;Marksman;MID;C;39.81;-7.59;49.55%;10.97%;0.17%;0.61%;2.15;patch_13.4
Rakan;Support;SUPPORT;S;64.65;-11.3;52.31%;98.68%;9.21%;2.83%;2.96;patch_13.4
Rammus;Tank;JUNGLE;A;54.64;-4.38;51.77%;83.80%;3.32%;9.02%;3.11;patch_13.4
Rammus;Tank;TOP;C;40.49;0.0;53.22%;13.27%;0.42%;9.42%;1.87;patch_13.4
Rek'Sai;Fighter;JUNGLE;C;38.51;4.57;48.31%;94.47%;1.53%;0.77%;2.39;patch_13.4
Rell;Tank;SUPPORT;A;48.19;4.59;51.91%;98.55%;1.52%;0.33%;2.51;patch_13.4
Renata Glasc;Support;SUPPORT;A;48.57;1.94;50.78%;98.81%;2.46%;0.89%;2.67;patch_13.4
Renekton;Fighter;TOP;A;49.82;-0.86;47.67%;85.90%;4.26%;3.05%;1.75;patch_13.4
Renekton;Fighter;MID;C;41.27;-3.14;50.21%;12.40%;0.62%;3.05%;1.99;patch_13.4
Rengar;Assassin;JUNGLE;B;46.65;1.57;49.21%;76.15%;3.62%;7.45%;2.35;patch_13.4
Rengar;Assassin;TOP;C;40.81;0.3;51.10%;20.62%;1.12%;7.45%;1.95;patch_13.4
Riven;Fighter;TOP;S;65.53;2.31;49.62%;89.41%;6.16%;2.17%;1.87;patch_13.4
Rumble;Fighter;MID;B;47.72;0.26;51.35%;40.63%;1.60%;1.74%;2.5;patch_13.4
Rumble;Fighter;TOP;C;38.98;2.84;48.64%;44.31%;1.69%;1.74%;2.07;patch_13.4
Rumble;Fighter;JUNGLE;D;33.2;0.0;46.40%;11.23%;0.42%;1.74%;2.66;patch_13.4
Ryze;Mage;MID;B;44.58;-2.43;48.78%;83.88%;2.32%;0.42%;2.37;patch_13.4
Ryze;Mage;TOP;D;29.58;-2.66;48.12%;13.79%;0.38%;0.42%;1.95;patch_13.4
Samira;Marksman;ADC;S;57.61;2.68;50.74%;97.74%;7.77%;21.42%;2.26;patch_13.4
Sejuani;Tank;JUNGLE;A;54.18;-3.32;50.32%;81.81%;4.31%;1.44%;3.2;patch_13.4
Sejuani;Tank;TOP;C;39.05;0.31;50.56%;14.05%;0.64%;1.44%;2.37;patch_13.4
Senna;Marksman;SUPPORT;S;60.27;-5.23;50.56%;92.92%;9.22%;2.75%;2.53;patch_13.4
Seraphine;Mage;SUPPORT;B;47.87;0.72;49.10%;68.34%;4.09%;1.25%;2.38;patch_13.4
Seraphine;Mage;MID;B;44.84;0.0;50.19%;10.20%;0.53%;1.34%;2.85;patch_13.4
Seraphine;Mage;ADC;D;34.38;-8.62;52.93%;20.69%;0.98%;1.25%;2.96;patch_13.4
Sett;Fighter;TOP;God;73.49;0.23;50.45%;83.77%;7.18%;4.57%;1.71;patch_13.4
Shaco;Assassin;JUNGLE;A;54.48;-2.55;47.92%;79.81%;5.79%;16.73%;2.65;patch_13.4
Shaco;Assassin;SUPPORT;C;41.6;-0.2;48.74%;13.98%;0.93%;16.73%;2.28;patch_13.4
Shen;Tank;TOP;S;65.86;4.22;52.40%;84.47%;3.90%;0.81%;3.07;patch_13.4
Shyvana;Fighter;JUNGLE;C;41.89;3.44;49.97%;79.02%;1.40%;0.30%;2.5;patch_13.4
Shyvana;Fighter;TOP;D;31.32;1.4;49.18%;14.41%;0.21%;0.31%;2.02;patch_13.4
Singed;Tank;MID;A;52.25;-1.71;54.89%;17.79%;0.45%;0.64%;2.84;patch_13.4
Singed;Tank;TOP;A;48.15;1.83;52.41%;70.85%;1.89%;0.64%;2.08;patch_13.4
Sion;Tank;TOP;S;64.88;2.61;51.05%;80.73%;5.66%;1.71%;1.78;patch_13.4
Sion;Tank;MID;C;41.74;0.0;51.95%;10.05%;0.59%;1.71%;1.49;patch_13.4
Sivir;Marksman;ADC;B;44.8;1.24;51.45%;98.12%;5.50%;1.08%;2.55;patch_13.4
Skarner;Fighter;JUNGLE;B;47.37;6.83;52.86%;74.73%;0.81%;0.16%;2.8;patch_13.4
Skarner;Fighter;TOP;D;32.24;0.93;49.35%;21.65%;0.19%;0.15%;2.12;patch_13.4
Sona;Support;SUPPORT;A;50.25;-1.29;50.98%;98.08%;2.86%;0.16%;2.87;patch_13.4
Soraka;Support;SUPPORT;A;50.49;-3.24;49.77%;96.40%;4.37%;1.50%;2.69;patch_13.4
Swain;Mage;MID;A;48.98;-3.17;52.14%;22.25%;1.02%;2.89%;2.8;patch_13.4
Swain;Mage;SUPPORT;A;48.76;3.44;50.41%;61.39%;3.39%;2.89%;2.35;patch_13.4
Swain;Mage;ADC;C;36.05;0.0;54.26%;10.36%;0.37%;2.89%;3.07;patch_13.4
Sylas;Mage;MID;S;60.89;3.89;49.87%;53.19%;7.46%;16.23%;2.17;patch_13.4
Sylas;Mage;JUNGLE;A;52.15;-6.03;48.75%;37.42%;5.20%;16.23%;2.41;patch_13.4
Syndra;Mage;MID;A;51.37;1.76;49.75%;92.47%;4.59%;2.35%;2.29;patch_13.4
Tahm Kench;Support;TOP;B;46.07;2.86;50.82%;63.44%;1.75%;0.74%;2.4;patch_13.4
Tahm Kench;Support;SUPPORT;C;40.8;8.35;48.70%;27.36%;0.59%;0.74%;2.36;patch_13.4
Taliyah;Mage;MID;B;45.78;-1.08;50.72%;68.81%;1.60%;0.47%;2.31;patch_13.4
Taliyah;Mage;JUNGLE;B;43.92;8.44;51.60%;20.54%;0.51%;0.47%;2.75;patch_13.4
Talon;Assassin;MID;B;46.86;0.75;49.88%;72.11%;2.84%;0.95%;2.2;patch_13.4
Talon;Assassin;JUNGLE;D;35.17;4.24;47.29%;24.68%;1.01%;0.95%;2.4;patch_13.4
Taric;Support;SUPPORT;A;50.62;1.56;52.69%;86.97%;1.63%;0.34%;2.8;patch_13.4
Teemo;Marksman;TOP;S;59.09;2.47;50.99%;73.63%;4.34%;6.94%;1.7;patch_13.4
Thresh;Support;SUPPORT;God;76.66;-9.1;51.01%;97.82%;16.82%;6.77%;2.61;patch_13.4
Tristana;Marksman;ADC;A;48.46;-0.84;50.39%;73.02%;7.22%;4.34%;2.35;patch_13.4
Tristana;Marksman;MID;B;47.98;-0.65;52.07%;23.20%;1.96%;4.34%;2.09;patch_13.4
Trundle;Fighter;JUNGLE;B;42.99;1.63;50.06%;70.94%;1.46%;0.89%;2.64;patch_13.4
Trundle;Fighter;TOP;D;29.19;-1.13;48.84%;22.38%;0.46%;0.90%;1.58;patch_13.4
Tryndamere;Fighter;MID;B;43.49;0.22;51.69%;14.86%;0.45%;2.49%;2.05;patch_13.4
Tryndamere;Fighter;TOP;B;42.81;0.07;48.93%;76.41%;2.58%;2.49%;1.76;patch_13.4
Twisted Fate;Mage;MID;B;44.8;1.39;49.07%;89.66%;2.26%;0.18%;2.35;patch_13.4
Twitch;Marksman;ADC;B;43.52;-0.18;51.47%;64.26%;4.84%;10.18%;2.45;patch_13.4
Twitch;Marksman;SUPPORT;C;40.03;-2.84;47.47%;24.40%;1.78%;10.18%;1.98;patch_13.4
Udyr;Fighter;JUNGLE;A;49.04;0.67;50.31%;85.31%;3.47%;8.48%;2.5;patch_13.4
Udyr;Fighter;TOP;D;31.23;-2.83;49.03%;12.84%;0.48%;8.20%;1.78;patch_13.4
Urgot;Fighter;TOP;B;43.62;-5.04;48.86%;88.21%;2.62%;1.14%;1.91;patch_13.4
Varus;Marksman;ADC;A;48.31;-6.0;49.63%;87.12%;7.74%;2.60%;2.4;patch_13.4
Vayne;Marksman;TOP;C;38.68;4.18;51.34%;19.64%;1.12%;4.02%;1.6;patch_13.4
Vayne;Marksman;ADC;D;32.6;-1.97;48.73%;77.26%;4.81%;4.02%;2.05;patch_13.4
Veigar;Mage;MID;S;65.78;9.17;52.12%;57.98%;7.63%;14.70%;2.45;patch_13.4
Veigar;Mage;ADC;A;50.81;13.36;54.12%;32.99%;4.18%;14.70%;2.8;patch_13.4
Vel'Koz;Mage;MID;B;45.55;-1.25;50.88%;30.78%;0.82%;0.48%;2.61;patch_13.4
Vel'Koz;Mage;SUPPORT;B;44.99;1.24;50.37%;65.30%;1.74%;0.45%;2.18;patch_13.4
Vex;Mage;MID;A;52.8;0.61;51.36%;93.89%;3.78%;4.31%;2.42;patch_13.4
Vi;Fighter;JUNGLE;S;62.56;-0.17;52.04%;94.90%;7.19%;3.66%;2.55;patch_13.4
Viego;Assassin;JUNGLE;S;62.1;-2.62;49.82%;94.43%;8.80%;3.26%;2.43;patch_13.4
Viktor;Mage;MID;S;56.36;2.36;51.30%;95.22%;5.57%;2.86%;2.3;patch_13.4
Vladimir;Mage;MID;A;52.13;2.46;50.68%;75.46%;4.03%;4.81%;2.37;patch_13.4
Vladimir;Mage;TOP;C;37.32;-1.33;49.27%;22.79%;1.14%;4.81%;2.06;patch_13.4
Volibear;Fighter;JUNGLE;B;47.07;1.19;51.89%;46.30%;1.63%;0.82%;2.66;patch_13.4
